馬來西亞 Malaysia,#genre#
Cartoon Network,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cn
Nickelodeon,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickelodeon
Nick Jr,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Nickjr
Citra,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Citra
Sensasi,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Sensasi
Aura,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Aura
Rania,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rania
Boo,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Boo
Awesome TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Awesome_mega
Sony HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=SetOne
KBS World,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=KBS
TvN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=TVN
Astro Premier,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Astropremier
Animal Planet (Eng),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=AnimalPlanet
tvN Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tvnmovie
CNN(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cnn_twn
CNBC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cnbc_twn
RTM Sports HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rtmsport
TLC,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Tlc
CNA,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cna
AFC 亞洲旅遊台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asiatravel_twn
BBC World News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcnews_twn
Foodnetwork Hd,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Foodnetwork_mega
HGTV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=HGTV
Arena,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Arena
Goshop,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Goshop
Celestial Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Celestial_mega
Arena 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Arena2
Axn HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Axn
Paramount Network,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Paramountnetwork
BolaArena 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bolaarena1
Astrol Kplus,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Kplus
Rock Actions,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockaction
Bloomberg News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bloomberg_twn
Al-Jazeera,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=aljazeera_twn
Rock Entertainment,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockentertain
Showcase,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Showcase_mega
BolaArena 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Channel5HD
Channel 5(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ch5_mega
Channel 8,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Channel8HD
Channel 8(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Ch8_mega
Suria,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Suria
Suria(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Suria_backup
Channel U,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ChannelU
Channel U(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ChU_mega
Vasantham,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Vasantham
Vasantham(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Vasantham_mega
CNA,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cna
CNA(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cna_twn

臺灣 Taiwan,#genre#
AXN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=axn_twn
CINEMAX,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cinemax_twn
EYE戲劇,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eyetvxiju_twn
EYE旅遊,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eyetvtravel_twn
HBO,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hbohd_twn
HBO Family,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=fyi_twn
好萊塢電影台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hollywoodmovies_twn
MTV Live,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=mtvhd_twn
TLC旅遊生活,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tlc_twn
東森新聞,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvnews
TVBS HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tvbs
TVBS新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tvbs_n
TVBS歡樂台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tvbshuanle_twn
三立台灣台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sanlitaiwan
三立戲劇台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sanlixiju_twn
三立綜合台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sanlizhonghe
中天亞洲台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctiasia_twn
中天娱樂,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctient
中天新聞HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctinews
中天綜合,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctizhonghe
亞洲旅遊台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=asiatravel_twn
亞洲美食,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=afc_twn
八大戲劇,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=badadrama
八大第一,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=badafirst
八大綜合,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=badazhonghe
公視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctv_taiwan
民視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ftvhd_taiwan
民視第一台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuajingdian_twn
民視台灣台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ftvtaiwan_twn
民視新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ftvnew_taiwan
台視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ttv_taiwan
台視新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ttvnews_twn
中視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=zhongshihd_twn
中視新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=zhongshinews_twn
中視經典,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=zhongshi_twn
華視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ctshd_twn
華藝綜合,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=weishichinese_twn
大愛一台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=daai_twn
寰宇新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=huanyuxinwen_twn
寰宇財經台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=huanyutaiwan_twn
年代新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=niandainews_twn
愛爾達影劇,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltayingju_twn
愛爾達體育 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltasport_twn
愛爾達體育 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltasport2_twn
愛爾達體育 3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltasport3_twn
ELEVEN 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=golfchannel_twn
博斯網球,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bositennis_twn
博斯運動1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bosisport1_twn
博斯運動2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bosisport2_twn
博斯高球1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bosigolf1_twn
博斯高球2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bosigolf2_twn
探索亞洲,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoverytwn_twn
探索動力,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoveryturbo_twn
國家地理,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeohd_twn
野生動物,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=natgeowild_twn
動物星球,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=animalplanet_twn
時尚,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=fashiontv_twn
Discovery Asia,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoverytwn_twn
Discovery HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=discoveryhd_twn
東森戲劇,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvdrama
東森洋片,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvwestern
東森綜合,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvzhonghe
東森財經新聞,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvcaijing_twn
東森電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ettvmovie
緯來日本台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=videolandjapan
緯來體育台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=videolandsport
美亞電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=meiyamovie_twn
BBC World News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bbcnews_twn
Bloomberg News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bloomberg_twn
Fox News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=foxnews_twn
阿里郎,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=arirang_twn
CN卡通,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=momo1_twn
靖天卡通台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jingtiancartoon_twn
靖天國際台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jingtianintl_twn
非凡新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=feifannews_twn
龍祥時代,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lungxiangtime_twn
龍華偶像,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuaidol_twn
龍華戲劇,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuaxiju_twn
龍華洋片,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuawestern_twn
龍華經典,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=lunghuajingdian_twn
龍華電影,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=xingwei_movie


香港 Hongkong,#genre#
J2(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=j2_hkdavid
J2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=j2_twn
RHK 31,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=rhk31_twn
RHK 32,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=rhk32_twn
TVB 星河,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tvbxinhe_twn
VIUTV1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viu1_twn
Viu TV 69,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viutv69_hkdavid
Viu6,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=viusix_twn
iNews 新聞台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=inews_twn
無線財經資訊台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tvbcaijing_twn
珍珠台(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=pearl_hkdavid
珍珠台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=pearl_twn
翡翠台(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jade_mike
翡翠台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jade_twn
鳳凰衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=phoenixtv_hd
鳳凰資訊,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=phoenixinfo_hd
鳳凰香港,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv1
CCTV-2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv2
CCTV-3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv3
CCTV-4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv4
CCTV-4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cctv4
CCTV-5,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv5
CCTV-5+,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv5plus
CCTV-6,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv6
CCTV-7,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv7
CCTV-8,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv8hd
CCTV-9,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv9hd
CCTV-10,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv10hd
CCTV-11,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv11
CCTV-12,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv12
CCTV-13,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv13
CCTV-14,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv14
CCTV-15,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv15
CCTV-16,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv16
CCTV-17,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv17
湖南衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hunan_twn
江蘇衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=jiangsu_twn
深圳衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=shenzhen
大灣區衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nanfang_twn
廣東衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=guangdongweishi_twn
北京衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=beijing
廣東珠江,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=zhujiang
廣西衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=guangxi
湖北衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hubei
四川衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=sichuan_twn
鳳凰衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=phoenixtv_hd
東方衛視,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=dongfangweishi_twn
CGTN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=CGTN
鳳凰資訊,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp1
Supersports 1(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_assp1
Supersportq 1(備用2),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp1_mega
Supersports 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp2
Supersports 2(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_assp2
Supersports 3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp3
Supersports 3(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_assp3
Supersports 3(備用2),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp3_mega
Supersports 4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Assp4_mega
Supersports 4(備用),http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_assp4
Supersports 5,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_assp5
Bein 2HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Beinhd
Beinsports HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Besports
Champion 5 EPL,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Champion5epl
WWE,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Wwe
Champion 6 EPL,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Champion6epl
Fight Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Fs
UFC Network,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ufc_mega
NBA TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=nbatv_twn
Astro Cricket,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Acricket_mega
Astro Golf,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Agolf
TNT Sports 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=beeone
TNT Sports 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=beetwo
TNT Sports 3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=beethree
TNT Sports 4,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=beefour
Sony Ten 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ten1_raj
Sony Ten 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ten2_raj
Sony Ten 3,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=ten3_raj
SPOTV 1 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_spotv
SPO TV 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=go_spotv2
Beinsports 2 HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bein2hd
Skysports Arena,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongarena
Skysports F1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongf1
Skysports Cricket,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongcricket
Skysports EPL,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongepl
Skysports Football,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongfootball
Skysports Golf,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankonggolf
Skysports Main Event,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongmain
Skysports News,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongnews
Skysports NFL,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongnfl
Skysports Racing,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongracing
Skysports Mix,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=tiankongmix
CCTV-5,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv5
CCTV-5+,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv5plus
愛爾達體育2台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltasport2_twn
愛爾達體育3台,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=eltasport3_twn
RTM Sports HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rtmsport
Arena,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Arena
Arena 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Arena2
BolaArena 1,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bolaarena1
Bein 1 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein1_mega
Bein 2 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein2_mega
Bein 3 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein3_mega
Bein 4 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein4_mega
Bein 5 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein5_mega
Bein 6 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein6_mega
Bein 7 Sports,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=bein7_mega
Rugby Pass TV,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rugbypasstv
BolaArena 2,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Bolaarena2

電影 Movie,#genre#
AXN,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=axn_twn
Animax,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Animax
Astrol Kplus,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Kplus
Axn HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Axn
CCTV-6,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cctv6
CINEMAX,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=cinemax_twn
Celestial Classic,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Celestial2
Celestial Movies HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Celestialindo
Cinemax,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Cinemax
HBO Family,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbofamily
HBO HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbo
HBO Hits,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbohits
HBO Signature,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hbosignature
HBO_HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hbohd_twn
HBO_HITS,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hbohits_twn
Hits Movie,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hitsmovie
Hits,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Hits
Hollywood Movies,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=hollywoodmovies_twn
Movies Now HD,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=moviesnow_raj
One,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=One_mega
Paramount Network,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Paramountnetwork
Rock Actions,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockaction
Rock Entertainment,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Rockentertain
SCM,http://www.douyin-cdn.dns-dynamic.net/xsmt.php?id=Weishimovie
