马港直播,#genre#
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct
无线华丽国,http://php.jdshipin.com/PLTV/iptv.php?id=huali
无线明珠粤,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
无线娱乐,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=tvbxh
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线千禧,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
VIUTV粤,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
RTHK31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam
重温经典,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
凤凰中文,http://php.jdshipin.com:8880/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn



广东,#genre#
ua=bingcha/1.1 (mianfeifenxiang) 
大湾区卫视,https://gx.484947.xyz/PLTV/77777777/224/3221225748/index.m3u8?servicetype=1&&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
广东珠江,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8?servicetype=1&&IASHttpSessionId=RR778520250111113355399717&ispcode=1108
咪咕南方卫视,https://migu.188766.xyz/?migutoken=ab2da5c17fb501683056d149cfa4dac5&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy
大湾区卫视2,http://36.36.200.198:44330/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
八度空间,http://cdn6.163189.xyz/163189/8tv
CH8,http://cdn6.163189.xyz/163189/ch8
CH5,http://cdn6.163189.xyz/163189/ch5
CHU,http://cdn6.163189.xyz/163189/chu
HOY TV1,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV2,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY剧集台,http://cdn.163189.xyz/163189/hoyjj
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳门莲花,http://cdn6.163189.xyz/163189/amlh
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华卡通,http://cdn8.163189.xyz/163189/lhkt
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华洋片,http://cdn8.163189.xyz/163189/lhyp
CCTV1,http://cdn6.163189.xyz/163189/cctv1
CCTV13,http://cdn3.163189.xyz/163189/cctv13
CCTV2,http://cdn6.163189.xyz/163189/cctv2
CCTV9,http://cdn3.163189.xyz/163189/cctv9
翡翠台,http://php.jdshipin.com/smt.php
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
天映经典,http://tl.061833.xyz/tl/null-1



astro,#genre#
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro AOD,https://o11.163189.xyz/stream/live/test/
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
Astro QJ,https://o11.163189.xyz/stream/live/qj/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
HBO,http://167.de5.net/bbb/115/master.m3u8
翡翠台,http://50.7.158.194:8277/jade_twn/playlist.m3u8
